PassengerId,Survived
384,1
882,0
276,1
648,0
224,0
855,1
81,0
389,0
796,0
250,0
751,1
837,0
495,0
147,0
198,0
80,1
763,0
145,0
244,0
154,0
529,0
876,1
13,0
362,0
605,1
218,0
279,0
666,0
242,1
610,1
96,0
282,0
280,0
584,1
50,1
225,0
169,0
99,1
395,1
191,1
519,1
730,1
331,1
789,0
317,1
695,0
556,0
587,0
465,0
473,1
102,0
664,0
467,0
62,1
58,0
494,0
327,0
382,1
811,0
685,0
116,0
516,0
143,1
226,0
625,0
887,0
416,1
293,0
508,0
781,1
295,0
64,0
836,1
55,0
580,0
758,0
358,1
725,0
622,0
231,1
881,1
237,0
361,0
740,0
545,0
431,0
266,0
232,0
658,1
617,0
134,1
196,1
741,0
736,0
206,1
852,0
370,1
54,1
769,0
30,0
311,1
525,0
550,0
100,0
119,1
765,0
692,1
313,1
651,0
341,0
401,0
43,0
671,1
594,1
684,0
219,1
469,0
835,0
365,0
478,0
704,0
577,1
355,0
84,1
572,1
267,0
867,1
186,0
23,1
621,0
73,0
162,1
485,1
675,0
708,0
257,1
398,0
737,0
320,1
866,1
686,0
458,1
26,0
42,1
148,1
672,0
482,0
650,1
334,0
425,0
687,0
542,1
530,0
178,1
639,0
41,0
417,1
745,0
604,0
515,0
239,0
707,1
534,1
761,0
387,0
255,0
802,1
842,0
814,1
433,1
823,0
676,0
875,1
9,1
858,0
220,0
344,0
809,0
89,1
468,0
363,1
678,1
638,0
833,0
129,1
4,1
179,0
445,0
636,1
840,1
52,0
848,0
127,0
67,1
270,1
349,0
871,0
849,0
457,0
252,1
659,0
82,0
440,0
541,1
728,1
459,1
446,1
286,0
385,0
49,0
424,1
333,1
663,0
290,1
335,1
298,1
641,0
820,0
163,0
599,0
863,1
812,0
616,1
21,0
776,0
166,0
489,0
783,0
496,0
77,0
480,1
759,0
585,0
493,0
844,0
94,0
472,0
857,1
824,1
391,0
619,1
46,0
374,1
777,0
574,1
549,0
774,0
850,1
750,0
742,0
647,0
12,1
874,0
653,0
175,0
830,1
140,1
150,0
540,1
665,0
322,0
483,0
403,1
199,1
75,0
460,0
770,0
251,0
562,0
380,0
807,0
703,1
187,1
581,1
258,1
602,0
869,0
34,0
681,1
706,0
61,0
861,0
536,1
762,0
95,0
510,0
19,0
818,0
83,1
324,1
360,1
103,1
194,0
412,0
816,0
299,0
720,0
421,0
443,0
307,1
429,0
753,0
831,1
474,1
528,1
352,0
603,0
450,0
680,1
862,0
640,0
168,0
606,0
167,1
476,0
254,0
785,0
51,0
434,0
682,1
192,0
702,0
448,0
185,1
217,1
59,1
241,1
8,0
479,0
87,0
865,0
390,1
325,0
53,1
78,0
427,1
618,1
670,1
747,0
573,0
337,0
690,1
601,1
304,1
724,0
402,0
558,1
801,0
677,0
353,0
566,0
346,1
115,1
539,0
656,0
11,1
308,1
